Arquivo,Componentes,Maior Componente,Menor Componente,Média de Componentes por vértice
"criticaeconomiapoliticaIngles.txt",5927,429,1,1.096170
"manifestocomunistaIngles.txt",2460,141,1,1.067073
"sherlock.txt",7339,455,1,1.099196
"lusiadasIngles.txt",12773,1046,1,1.132154
